data,hora,taxa
2024/09/27,10:49:02,10.725262016589234
2024/09/27,10:49:03,10.717332893961636
2024/09/27,10:49:04,10.294517196638072
2024/09/27,10:49:05,10.758901105337594
2024/09/27,10:49:06,10.46017269021968
2024/09/27,10:49:07,10.653987423880677
2024/09/27,10:49:08,10.516183716288154
2024/09/27,10:49:09,10.356346900882807
2024/09/27,10:49:10,10.29670172069051
2024/09/27,10:49:11,10.7086720349731
2024/09/27,10:56:52,10.774425297524488
2024/09/27,10:56:53,10.0603915946701
2024/09/27,10:56:54,10.091006211686805
2024/09/27,10:56:55,10.095006736621874
2024/09/27,10:56:56,10.509961613615806
2024/09/27,10:56:57,10.676184891577925
2024/09/27,10:56:58,10.533607877308063
2024/09/27,10:56:59,10.356242598569736
2024/09/27,10:57:00,10.025830949060824
2024/09/27,10:57:01,10.906403568992156
